"";"genotype";"N_change";"Fe_change";"Mg_change";"Mn_change";"Na_change";"Zn_change";"C_change";"Cu_change";"cluster"
"2";"1_3";-16,48;17,87;-7;11,04;-5,97;-20,49;2,71;-12,52;"1"
"3";"1_4";-10,58;-16,92;3,63;15,24;6,55;-15,82;2,46;-3,35;"2"
"4";"1_6";-13,38;-5,23;2,08;40,85;-0,57;-18,27;-1,04;10,27;"2"
"5";"1_7";-17,86;-11,8;-1;2,15;2,93;-16,28;6,87;-5,11;"3"
"6";"1_8";-11,37;-18,89;1,16;-7,56;4,09;-27,96;-3,81;-22,05;"3"
"7";"1_9";-15,23;-27,3;3,04;9,18;-3,8;-16,03;-1,26;-22,75;"3"
"8";"1_10";-17,23;-28,66;-3,21;-3,19;-4,15;-25,65;5,84;-23,77;"1"
"9";"1_12";-16,72;-37,08;7;31,2;9,79;-27,26;5,05;-23,79;"1"
"10";"1_13";-8,1;-24,09;-0,42;-11,51;-7,91;-27,84;3,09;-33,3;"2"
"12";"1_16";-14,03;-20,3;1,66;-4,31;5,95;-21,56;-3,6;-23,08;"1"
"13";"1_17";-18,14;-7,63;-3,28;12,09;-2,65;-23,19;-2,03;-25,38;"1"
"14";"1_18";-24,02;-11,46;1,71;18,14;-15,93;-21,19;-6,29;-28,76;"1"
"15";"1_19";-6,65;-7,36;2,59;21,25;-7,81;-21,12;2,83;-15,45;"3"
"16";"1_23";-16,13;-27,19;-0,87;16,76;-1,04;-35,11;-1,19;-27,25;"1"
"18";"1_27";-4,06;-24,92;-5,57;4,12;16,9;-31,9;0,55;-7,49;"3"
"19";"1_29";-18,7;-27,34;-14,62;-1,29;-2,14;-23,82;2,21;11,63;"3"
"20";"1_33";-2,55;-8,92;5,73;41,36;10,72;-27,57;-1,19;27,99;"1"
"21";"1_34";-13,22;-24,03;-19,09;-26,38;-9,55;-38,27;2,8;8,78;"1"
"22";"1_37";0,68;-20,42;8,21;27,56;-21,25;-27,9;-0,95;16,59;"1"
"23";"1_38";-1,77;-28,28;-10,92;-17,14;-4,82;-25,69;3,44;10,34;"1"
"24";"1_39";-10,42;-24,14;0,41;-4,2;-18,6;-38,53;-1,84;15,37;"1"
"25";"1_41";-16,84;-9,86;-13,12;-2,92;-19,43;-16,66;2,17;27,32;"1"
"26";"1_43";-6,91;4,58;-10,22;-12,2;-25,98;-30,2;2,83;-8,95;"3"
"27";"1_47";-9,61;-10,49;-0,62;6,36;15,8;-16,99;-4,97;10,85;"3"
"28";"1_60";-12,24;-24,34;-6,73;-16,02;8,71;-31,72;-7,67;7,11;"1"
"30";"1_62";-13,33;-27,25;-1,88;-10,24;15,67;-29,75;-6,33;1,43;"1"
"31";"1_63";-10,03;-16,47;8,15;21,15;5,21;-27,57;-6,24;-1,1;"1"
"33";"1_66";-20,43;-21,68;-8,58;-2,91;-2,92;-22,11;-6,19;-12,33;"1"
"34";"1_67";-1,46;-10,12;-12,02;-27,24;-8,89;-16,24;-10,71;-11,16;"3"
"38";"1_77";-8,96;-8,08;-7,97;-2,99;1,47;-14,3;-5,57;-17,34;"2"
"39";"1_78";17,17;-8,9;-6,16;-8,57;9,13;-24,53;4,72;-16,61;"2"
"40";"1_79";3,86;-3,29;2,77;29,86;18,89;-12,65;1,35;8,88;"2"
"41";"1_80";5,27;-6,82;-4,84;2,42;4,09;-20,15;1,74;-14,18;"2"
"42";"1_81";12,93;-18,99;-0,82;16,5;-2,67;-25,76;-0,08;-18,62;"1"
"43";"1_84";2,05;-46,28;-3,44;10,59;-2,92;-41,56;1,4;-15,22;"2"
"44";"1_85";11,42;-20,67;-1,45;20,58;-12,26;-23,52;-3,58;-17,54;"1"
"46";"1_89";-1,21;-6,11;0,84;27,13;-22,26;-28,31;-1,3;-31,86;"2"
"47";"1_90";-18,63;-27,9;-13,18;11,08;-12,75;-53,25;4,46;-37,31;"2"
"48";"1_91";3,59;-38,08;-14,74;12,05;-16,93;-26,39;0,76;-43,66;"2"
"49";"1_93";-10,03;-18,5;-13,31;-18,51;-4,07;-15,86;2,65;-3,68;"1"
"50";"1_96";3,65;-22,76;-16,93;-32,89;0,66;-24,73;4,45;-31,68;"2"
"51";"1_98";-2,77;-14,97;-8,33;5,08;22,33;-24,69;5,59;-20,93;"1"
"52";"1_105";-6,55;-21,38;2,05;26,22;14,01;-16,6;-3,47;1,99;"2"
"53";"1_106";0,56;-10,67;-6,39;29,56;3,69;-5,53;2;-3,96;"2"
"54";"1_109";-1,97;-17,48;-14,3;-9,64;6,04;-9,43;1,02;-22,49;"1"
"55";"1_110";-3,86;5,1;-11,07;-14,56;-11,6;-20,01;4,66;-19;"2"
"57";"1_112";-10,01;-16,88;-12,82;-24,37;0,4;-25,73;5,01;-19,77;"2"
"59";"1_114";-5,41;-10,4;-16,95;-17,61;-11,95;-18,82;8,87;-32,52;"2"
"60";"1_115";0;-10,63;-3,53;8,72;10,14;-21,37;4,46;-4,88;"2"
"62";"1_117";10,02;22,41;-6,7;22,73;13,89;15,71;4,38;27,35;"3"
"63";"1_118";-5,34;-14,04;-12,47;-18,35;-2,5;-16,24;2,79;-22,42;"2"
"64";"1_119";-11,66;-4,52;-3,48;-15,22;6,57;-4,93;-1,47;2,58;"3"
"65";"1_120";-0,16;-12;11,93;25,8;-11,61;-13,98;-1,67;4,01;"2"
"66";"1_122";-24,64;-1,71;-20,12;20,81;-5,29;-8,25;6,47;-18,4;"1"
