genotype;Cu_eCo2;Cu_aCo2;Fe_eCo2;Fe_aCo2;Mg_eCo2;Mg_aCo2;Mn_eCo2;Mn_aCo2;Na_eCo2;Na_aCo2;Zn_eCo2;Zn_aCo2;C_eCo2;C_aCo2;N_eCo2;N_aCo2;N_change;aCN_ratio;eCN_ratio;eCN_aCN;Fe_change;Mg_change;Mn_change;Na_change;Zn_change
ARR-2;7.61;6.13;55.51;63.8;3058.57;3284.09;69.76;34.51;2442.78;2252.36;42;43.82;35.99;36.42;5.92;6.02;;;;;;;;;
ARR-10;8.7;7.34;58.86;68.34;3306.78;3378.36;63.09;47.24;2289.01;2195.98;45.26;45.86;36.94;36.47;6.05;6.24;;;;;;;;;
ARR-11;6.62;7.41;65.25;73.34;3264.47;3370.91;57.15;44.45;2054.25;2469.35;46.36;44.7;36.58;36.29;5.84;6.14;;;;;;;;;
ARR-12;6.78;7.09;70.26;70.93;3512.76;3378.78;62.75;41.61;1976.73;2679.85;47.73;45.16;36.76;36.81;6;6.21;;;;;;;;;
ARR-15;7.13;8.61;66.67;85;3221.84;3689.61;66.67;51.28;2006.44;2085.44;49.2;52;37.6;34.38;6.44;6.41;;;;;;;;;
ARR-17;7.89;6.45;79.82;82.1;3183.6;3665.1;84.12;53.36;2326.57;2837.67;59.75;53.95;36.96;36.01;6.04;6.15;;;;;;;;;
ARR-18;6.62;6.72;64.1;71.41;3233.61;3455.61;60.32;41.55;2146.44;2401.19;39.03;43.79;36.53;36.93;6.18;6.23;;;;;;;;;
ARR-20;6.87;5.51;68.7;72.46;3090.92;3221.45;80.91;33.6;2414.37;3094.91;52.67;39.12;37.75;36.9;6.18;5.57;;;;;;;;;
ARR-21;7.1;7.17;63.1;71.67;3373.18;3676;99.34;45.63;1615.76;1417.65;45.36;54.47;37.02;35.56;6.01;6.65;;;;;;;;;
ARR-23;5.95;6.67;58.46;66.44;3279.89;3441.54;58.98;46.44;1821.27;1652.54;49.92;46.68;36.71;.;6;.;;;;;;;;;
ARR-24;7.78;6.97;56.15;71.07;2943.79;3430.4;58.67;52.26;1782.93;1576.88;36.8;50.63;36.89;34.79;6.13;6.09;;;;;;;;;
ARR-27;6.52;7.72;59.35;85.19;3219.23;3570.12;67.73;53.13;1733.79;1267.82;43.99;51.26;35.53;33.54;6.24;6.39;;;;;;;;;
ARR-28;5.82;.;53.57;.;3439.02;.;40.76;.;3659.71;.;47.75;.;.;.;.;.;;;;;;;;;
ARR-29;5.71;7.25;71.17;85.51;3352.02;3465.97;69.66;56.01;1808.28;1638.72;49.55;50.51;37.11;35.72;6.62;5.91;;;;;;;;;
ARR-3;6.76;7.48;63.6;80.62;3168.73;3356.24;68.73;51.17;2033.89;2022.44;40.07;54.45;37.26;36.1;6.35;5.91;;;;;;;;;
