genotype;Cu_eCo2;Cu_aCo2;Fe_eCo2;Fe_aCo2;Mg_eCo2;Mg_aCo2;Mn_eCo2;Mn_aCo2;Na_eCo2;Na_aCo2;Zn_eCo2;Zn_aCo2;C_eCo2;C_aCo2;N_eCo2;N_aCo2;N_change;aCN_ratio;eCN_ratio;eCN_aCN;Fe_change;Mg_change;Mn_change;Na_change;Zn_change
ALL1-2;11.951771428571;6.16319095477393;86.1523523809491;79.0496231155786;3073.09922857131;3154.74987437189;31.622395238094;26.52851758794;735.780928571401;775.490201005033;47.3090952380935;56.2726130653272;39.213;37.526;6.545;6.869;-4.71684379094482;;;;;;;;
CAM-16;7.53521739130445;9.36083027522944;72.3380869565227;101.704155963304;2691.57965217395;3168.76754587159;27.3779565217395;36.1783440366975;793.709565217402;932.288096330283;46.9695217391311;59.4539220183491;39.356;38.909;6.57;7.362;-10.7579462102689;;;;;;;;
CAM-61;5.84022598870069;7.45917857142851;78.2590282485893;99.6817499999991;2418.43758192096;3302.60782142854;31.8292316384188;30.5148214285712;639.504745762726;827.742785714278;43.5096836158202;48.3716428571424;41.132;38.733;5.836;7.073;-17.4890428389651;;;;;;;;
CUR-3;7.68874519230788;8.2441126760563;75.6473317307711;100.678103286385;2764.47593269238;2983.86914553989;37.2036057692317;35.9743098591548;755.233197115403;824.41126760563;35.963485576924;54.4611079812204;40.42;39.423;6.825;7.202;-5.23465703971119;;;;;;;;
JEA;7.1279515418501;5.26010000000002;76.3380616740075;77.8995761904765;3324.1546916299;2795.61790952382;37.4792290748892;28.0538666666668;951.696497797341;835.35397619048;41.1581718061667;44.5856095238097;40.393;41.034;6.472;6.287;2.94257992683316;;;;;;;;
LAC-3;8.04156279069781;5.88367579908687;77.4914232558153;86.8430547945222;3113.54690232563;2514.2123424658;36.3088744186053;24.4760913242014;537.566288372102;505.996118721471;44.3504372093031;46.8340593607315;39.583;40.274;6.44;6.339;1.59331124783089;;;;;;;;
LAC-5;8.13857534246591;5.7061009615386;84.2581917808235;80.3815961538481;3220.48213698636;3125.95096153854;36.6235890410966;29.7709615384623;682.682849315081;627.9191971154;50.9857808219188;53.3396394230782;40.522;40.248;6.3;6.488;-2.8976572133169;;;;;;;;
LDV-14;9.18512562814039;7.45783185840717;97.0998994974841;95.2677876106206;2936.87831155769;3118.81716814163;34.9034773869335;26.7038495575224;1147.61583919594;967.59353982302;44.6134673366819;54.8511504424785;39.452;38.854;6.676;7.382;-9.56380384719588;;;;;;;;
LDV-25;5.80733333333326;7.53315270935969;67.9941944444435;95.5009359605922;2635.07749999996;3256.50901477836;32.9082222222218;35.9647290640398;746.96824999999;715.892512315279;27.3428611111107;50.5450246305425;40.545;38.635;6.431;7.614;-15.5371683740478;;;;;;;;
LDV-34;6.06641269841287;7.76916371681395;64.5245714285732;110.180867256634;2642.74996825404;3151.21988938045;20.680952380953;32.7246592920345;980.552888888916;1029.76733628316;25.9201269841277;48.733845132742;40.944;38.656;4.968;6.538;-24.0134597736311;;;;;;;;
MIB-15;9.74850717703343;7.27624742268038;84.9869856459324;102.387195876288;3568.20358851672;3108.51684536081;22.9964784688994;36.6411030927833;624.654344497603;568.067030927833;48.4925741626791;71.9828762886595;40.471;39.998;7.016;7.016;0,00;;;;;;;;
MIB-22;10.7297698744769;7.31841747572817;132.698786610877;94.1299902912624;3314.84196652716;3334.42241747574;40.9483054393301;39.8727572815535;739.040271966519;556.452087378642;42.0431799163175;51.7336407766992;39.735;39.421;7.279;7.74;-5.95607235142119;;;;;;;;
MIB-28;14.0659872611467;5.83063461538476;86.740254777071;82.9540288461559;3255.60624203825;3190.94730769239;34.4951592356692;29.1531730769238;841.614904458608;822.649538461559;39.5187261146501;53.5358269230782;40.219;38.827;7.109;7.245;-1.87715665976536;;;;;;;;
MIB-84;17.5200000000002;7.95425233644865;205.669565217394;106.680560747664;4045.85043478266;3486.53595794395;38.8486956521744;33.6885981308413;765.547826086967;576.449345794396;56.3686956521747;76.7351401869164;37.993;40.164;7.076;7.499;-5.64075210028004;;;;;;;;
MOG-37;7.94314215686258;7.77636160714279;69.4384362745084;84.8330357142849;2733.72205392151;2750.23988839283;35.3597941176463;31.8123883928569;971.11318627449;936.698102678563;32.0287990196072;43.8304017857139;39.94;39.553;6.52;7.186;-9.26802115224047;;;;;;;;
PAR-3;5.56906666666668;7.16965326633173;62.8840444444445;82.5837839195988;2719.79293333334;3100.74226633169;27.8453333333334;33.4583819095481;593.56968888889;580.74191457287;28.5414666666667;50.4531155778899;18.987;38.99;2.834;7.071;-59.9208032810069;;;;;;;;
PAR-4;.;5.56856310679613;.;92.1344077669905;.;2736.69565048544;.;28.3490485436894;.;734.54409708738;.;54.6731650485438;.;40.519;.;6.632;.;;;;;;;;
TOU-A1-43;5.67101886792468;6.24548623853216;67.5590943396244;76.3871009174318;2928.21826415102;3121.06164220186;36.2452075471708;40.3554495412847;617.647924528318;716.06901834863;38.2177358490576;55.7289541284408;40.687;38.694;6.037;7.055;-14.4294826364281;;;;;;;;
