"";"genotype";"N_change";"Fe_change";"Mg_change";"Mn_change";"Na_change";"Zn_change";"C_change";"Cu_change";"cluster"
"1";"CAM-16";-10,76;-28,87;-15,06;-24,33;-14,86;-21;1,15;-19,5;"1"
"2";"CAM-61";-17,49;-21,49;-26,77;4,31;-22,74;-10,05;6,19;-21,7;"2"
"3";"CUR-3";-5,23;-24,86;-7,35;3,42;-8,39;-33,96;2,53;-6,74;"2"
"4";"JEA";2,94;-2;18,91;33,6;13,93;-7,69;-1,56;35,51;"3"
"5";"LAC-3";1,59;-10,77;23,84;48,34;6,24;-5,3;-1,72;36,68;"3"
"6";"LAC-5";-2,9;4,82;3,02;23,02;8,72;-4,41;0,68;42,63;"3"
"7";"LDV-25";-15,54;-28,8;-19,08;-8,5;4,34;-45,9;4,94;-22,91;"1"
"8";"MIB-15";0;-16,99;14,79;-37,24;9,96;-32,63;1,18;33,98;"1"
"9";"MOG-37";-9,27;-18,15;-0,6;11,15;3,67;-26,93;0,98;2,14;"2"
"10";"TOU-A1-43";-14,43;-11,56;-6,18;-10,19;-13,74;-31,42;5,15;-9,2;"1"
"11";"TOU-A1-62";-12,52;-5,87;-4,04;-15,84;33,21;-37,16;2,24;-13,92;"1"
"12";"TOU-A1-96";-25,9;19,84;-16,77;-42,9;21,88;-49,34;1,94;-13,97;"1"
"13";"TOU-C-3";-6,78;20,82;3,52;-15,79;22,88;-32,19;-0,74;16,79;"3"
"14";"TOU-E-11";-10,27;-16,26;-5,28;-18,44;22,88;-32,66;1,6;-2,45;"1"
"15";"TOU-H-12";-23,24;30,74;-17,67;-3,74;7,32;-21,35;-1,07;18,47;"3"
"16";"TOU-H-13";8,6;-3,99;-4,49;2,21;17,5;-14,69;2;18,49;"3"
"17";"TOU-I-17";-22,2;-1,5;-24,15;-26,34;10,02;-46,73;5,58;-14,07;"1"
"18";"TOU-I-2";-16,62;-10,47;-8,74;-12,08;29,09;-40,23;-1,65;-12,43;"1"
"19";"TOU-I-6";-24,32;-12,26;-19,16;-24,88;16,38;-37,47;0,7;-3,81;"1"
"20";"TOU-J-3";-19,67;-7,53;-18,88;-22,83;24,39;-46,46;4,05;-5,69;"1"
"21";"VOU-1";-4,41;-21,75;-14,46;-26,84;14,75;-36,14;5,41;2,18;"1"
"22";"VOU-2";-21,99;15,86;-14,64;-14,6;-0,77;-42,03;1,62;-18,82;"1"
"23";"Belmonte-4-94";-19,73;6,42;22,2;14,38;11,51;-26,07;-0,26;27,53;"3"
"24";"KBS-Mac-8";2,74;1,02;28,38;-12,12;29,8;-16,06;-2,61;38,27;"3"
"25";"MNF-Pot-48";-18,04;-41,4;-11,85;-28,57;0,76;-38,64;3,36;-34,93;"1"
"26";"MNF-Pot-68";-25,87;-16,75;-13,56;-41;-13,79;-52,76;9,8;-19,8;"1"
"27";"MNF-Che-2";-25,59;7,74;-15,2;4,78;1,39;-33,82;2,38;0,75;"1"
"28";"Paw-3";-12,85;-13,17;-19,17;-42,98;-10,94;-44,28;5,69;-21,33;"1"
"29";"SLSP-30";-4,36;54,75;-3,73;-9,25;5,67;-14,46;1,22;8,56;"3"
"30";"Ste-3";3,66;-7,57;2,62;-19,31;9,85;31,95;2,1;-27,74;"2"
"31";"UKID101";-6,67;27,2;9,96;-0,95;-4,81;3,83;2,01;-26,01;"2"
"32";"App1-16";20,84;-17,41;9,66;16,17;-13,02;5,66;4,3;-17,87;"2"
"33";"Bor-1";13,22;-23,92;1,49;-10,16;21,85;-19,39;3,82;-31,94;"2"
"34";"DraIV 1-5";-26,83;-24,21;-17,44;-60,48;28,63;-44,3;2,53;-47,75;"1"
"35";"DraIV 6-35";6,74;-5,35;6,91;1,7;19,02;-22,48;-0,22;-4,38;"2"
"36";"Ukse06-482";-21,93;6,72;-18,45;-19,82;6,92;-13,88;4,92;-45,63;"1"
"37";"Tottarp-2";-9,13;-2,12;-0,66;4,44;29,32;10,09;-1,04;-33,09;"2"
"38";"Pu2-24";-1,76;-3,17;10,62;-12,71;9,3;16,97;5,17;-31,18;"2"
"39";"Amel-1";0,37;-17,65;7,62;-8,61;-2,32;-0,17;1,62;-18,59;"2"
"40";"Ang-0";-12,34;-11,1;-5,86;-18,13;5,75;-6,22;7,39;-33,51;"1"
"41";"Ann-1";-7,36;-15,84;-0,68;-11,96;-2,14;-14,12;6,38;-26,05;"2"
"42";"An-2";-4,99;-13,38;-7,01;-17,54;9,14;-10;6,54;-40,39;"1"
"43";"Aa-0";-0,39;5,29;3,38;-14,64;22,74;1,28;4,61;-27,26;"2"
"44";"Baa-1";1,99;-37,13;4,46;-10,12;1,94;17,06;7,07;-36,89;"2"
"45";"Bs-2";-9,26;-36,44;-16,47;-37,01;20,98;-21,7;8,87;-63,08;"1"
"46";"Benk-1";2,05;4,47;-4,21;-12,23;21,24;-13,67;11;-12,62;"2"
"47";"Be-1";-2,36;-22,47;0,85;19,64;6,67;4,01;3,98;-16,47;"2"
"48";"Blh-2";0,44;-28,19;-6,36;-6,7;36,67;14,52;6,27;-30,08;"2"
"49";"Ca-0";3,78;-44,66;17,14;47,09;38,94;0,53;-5,12;-20,4;"2"
"50";"Chat-1";-3,79;62,19;8,21;35,01;23,18;12,14;-0,93;20,63;"3"
"51";"Cit-0";-5,07;-16,02;7,98;28,85;20,9;6,43;3,75;-18,29;"2"
"52";"Co-2";10,06;-11,24;25,3;24,45;24,63;20,14;2,46;8,89;"3"
