Ecotype_ID,Ecotype_ID_250K,accession,original_n *,Stockparen,donor,collector,Collection,country,Latitude,Longitude
1,1,ALL1-2,ALL1-2, , ,Valerie Le Corre,NA,France,45.2667,1.48333
2,2,ALL1-3,ALL1-3, , ,Valerie Le Corre,NA,France,45.2667,1.48333
4,4,ALL1-5,ALL1-5, , ,Valerie Le Corre,NA,France,45.2667,1.48333
5,5,ALL1-6,ALL1-6, , ,Valerie Le Corre,NA,France,45.2667,1.48333
6,6,ALL1-7,ALL1-7, , ,Valerie Le Corre,NA,France,45.2667,1.48333
7,7,ALL1-8,ALL1-8, , ,Valerie Le Corre,NA,France,45.2667,1.48333
8,8,ALL1-9,ALL1-9, , ,Valerie Le Corre,NA,France,45.2667,1.48333
9,9,ALL2-1,ALL2-1, , ,Valerie Le Corre,NA,France,45.2667,1.48333
12,12,ALL2-4,ALL2-4, , ,Valerie Le Corre,NA,France,45.2667,1.48333
23,23,CAM-16,CAM-16, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
32,32,CAM-25,CAM-25, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
45,45,CAM-42,CAM-42, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
48,48,CAM-45,CAM-45, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
51,51,CAM-48,CAM-48, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
60,60,CAM-56,CAM-56, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
62,62,CAM-58,CAM-58, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
66,66,CAM-61,CAM-61, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
69,69,CAM-64,CAM-64, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
74,74,CAM-7,CAM-7, , ,Valerie Le Corre,NA,France,48.2667,-4.58333
77,77,CLA-7,CLA-7, , ,Valerie Le Corre,NA,France,48.8,2.26667
79,79,CUR-10,CUR-10, , ,Valerie Le Corre,NA,France,45,1.75
80,80,CUR-2,CUR-2, , ,Valerie Le Corre,NA,France,45,1.75
81,81,CUR-3,CUR-3, , ,Valerie Le Corre,NA,France,45,1.75
82,82,CUR-4,CUR-4, , ,Valerie Le Corre,NA,France,45,1.75
83,83,CUR-5,CUR-5, , ,Valerie Le Corre,NA,France,45,1.75
84,84,CUR-6,CUR-6, , ,Valerie Le Corre,NA,France,45,1.75
85,85,CUR-7,CUR-7, , ,Valerie Le Corre,NA,France,45,1.75
86,86,CUR-8,CUR-8, , ,Valerie Le Corre,NA,France,45,1.75
87,87,CUR-9,CUR-9, , ,Valerie Le Corre,NA,France,45,1.75
88,88,CYR,CYR, , ,Valerie Le Corre,NA,France,47.4,0.683333
89,89,DAM1,DAM1, , ,Valerie Le Corre,NA,France,48.7,1.98333
91,91,JEA,JEA, , ,Valerie Le Corre,NA,France,43.6833,7.33333
94,94,LAC-3,LAC-3, , ,Valerie Le Corre,NA,France,47.7,6.81667
96,96,LAC-5,LAC-5, , ,Valerie Le Corre,NA,France,47.7,6.81667
104,104,LDV-14,LDV-14, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
106,106,LDV-16,LDV-16, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
116,116,LDV-25,LDV-25, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
121,121,LDV-3,LDV-3, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
122,122,LDV-30,LDV-30, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
123,123,LDV-31,LDV-31, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
126,126,LDV-34,LDV-34, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
137,137,LDV-44,LDV-44, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
146,146,LDV-53,LDV-53, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
148,148,LDV-57,LDV-57, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
149,149,LDV-58,LDV-58, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
151,151,LDV-6,LDV-6, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
153,153,LDV-68,LDV-68, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
156,156,LDV-70,LDV-70, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
157,157,LDV-8,LDV-8, , ,Valerie Le Corre,NA,France,48.5167,-4.06667
159,159,MAR2-3,MAR2-3, , ,Valerie Le Corre,NA,France,47.35,3.93333
160,160,MIB-1,MIB-1, , ,Valerie Le Corre,NA,France,47.3833,5.31667
162,162,MIB-100,MIB-100, , ,Valerie Le Corre,NA,France,47.3833,5.31667
163,163,MIB-11,MIB-11, , ,Valerie Le Corre,NA,France,47.3833,5.31667
165,165,MIB-14,MIB-14, , ,Valerie Le Corre,NA,France,47.3833,5.31667
166,166,MIB-15,MIB-15, , ,Valerie Le Corre,NA,France,47.3833,5.31667
167,167,MIB-16,MIB-16, , ,Valerie Le Corre,NA,France,47.3833,5.31667
168,168,MIB-17,MIB-17, , ,Valerie Le Corre,NA,France,47.3833,5.31667
169,169,MIB-19,MIB-19, , ,Valerie Le Corre,NA,France,47.3833,5.31667
170,170,MIB-2,MIB-2, , ,Valerie Le Corre,NA,France,47.3833,5.31667
171,171,MIB-20,MIB-20, , ,Valerie Le Corre,NA,France,47.3833,5.31667
173,173,MIB-22,MIB-22, , ,Valerie Le Corre,NA,France,47.3833,5.31667
174,174,MIB-23,MIB-23, , ,Valerie Le Corre,NA,France,47.3833,5.31667
175,175,MIB-24,MIB-24, , ,Valerie Le Corre,NA,France,47.3833,5.31667
178,178,MIB-28,MIB-28, , ,Valerie Le Corre,NA,France,47.3833,5.31667
179,179,MIB-29,MIB-29, , ,Valerie Le Corre,NA,France,47.3833,5.31667
183,183,MIB-32,MIB-32, , ,Valerie Le Corre,NA,France,47.3833,5.31667
184,184,MIB-33,MIB-33, , ,Valerie Le Corre,NA,France,47.3833,5.31667
185,185,MIB-34,MIB-34, , ,Valerie Le Corre,NA,France,47.3833,5.31667
186,186,MIB-35,MIB-35, , ,Valerie Le Corre,NA,France,47.3833,5.31667
187,187,MIB-36,MIB-36, , ,Valerie Le Corre,NA,France,47.3833,5.31667
188,188,MIB-37,MIB-37, , ,Valerie Le Corre,NA,France,47.3833,5.31667
190,190,MIB-39,MIB-39, , ,Valerie Le Corre,NA,France,47.3833,5.31667
191,191,MIB-40,MIB-40, , ,Valerie Le Corre,NA,France,47.3833,5.31667
194,194,MIB-43,MIB-43, , ,Valerie Le Corre,NA,France,47.3833,5.31667
196,196,MIB-47,MIB-47, , ,Valerie Le Corre,NA,France,47.3833,5.31667
198,198,MIB-50,MIB-50, , ,Valerie Le Corre,NA,France,47.3833,5.31667
200,200,MIB-54,MIB-54, , ,Valerie Le Corre,NA,France,47.3833,5.31667
201,201,MIB-55,MIB-55, , ,Valerie Le Corre,NA,France,47.3833,5.31667
202,202,MIB-57,MIB-57, , ,Valerie Le Corre,NA,France,47.3833,5.31667
203,203,MIB-58,MIB-58, , ,Valerie Le Corre,NA,France,47.3833,5.31667
204,204,MIB-60,MIB-60, , ,Valerie Le Corre,NA,France,47.3833,5.31667
205,205,MIB-61,MIB-61, , ,Valerie Le Corre,NA,France,47.3833,5.31667
206,206,MIB-62,MIB-62, , ,Valerie Le Corre,NA,France,47.3833,5.31667
207,207,MIB-63,MIB-63, , ,Valerie Le Corre,NA,France,47.3833,5.31667
208,208,MIB-64,MIB-64, , ,Valerie Le Corre,NA,France,47.3833,5.31667
210,210,MIB-67,MIB-67, , ,Valerie Le Corre,NA,France,47.3833,5.31667
212,212,MIB-69,MIB-69, , ,Valerie Le Corre,NA,France,47.3833,5.31667
213,213,MIB-70,MIB-70, , ,Valerie Le Corre,NA,France,47.3833,5.31667
214,214,MIB-73,MIB-73, , ,Valerie Le Corre,NA,France,47.3833,5.31667
215,215,MIB-75,MIB-75, , ,Valerie Le Corre,NA,France,47.3833,5.31667
216,216,MIB-76,MIB-76, , ,Valerie Le Corre,NA,France,47.3833,5.31667
217,217,MIB-77,MIB-77, , ,Valerie Le Corre,NA,France,47.3833,5.31667
219,219,MIB-80,MIB-80, , ,Valerie Le Corre,NA,France,47.3833,5.31667
222,222,MIB-83,MIB-83, , ,Valerie Le Corre,NA,France,47.3833,5.31667
223,223,MIB-84,MIB-84, , ,Valerie Le Corre,NA,France,47.3833,5.31667
224,224,MIB-86,MIB-86, , ,Valerie Le Corre,NA,France,47.3833,5.31667
225,225,MIB-87,MIB-87, , ,Valerie Le Corre,NA,France,47.3833,5.31667
227,227,MIB-89,MIB-89, , ,Valerie Le Corre,NA,France,47.3833,5.31667
228,228,MIB-9,MIB-9, , ,Valerie Le Corre,NA,France,47.3833,5.31667
229,229,MIB-90,MIB-90, , ,Valerie Le Corre,NA,France,47.3833,5.31667
230,230,MIB-92,MIB-92, , ,Valerie Le Corre,NA,France,47.3833,5.31667
231,231,MIB-93,MIB-93, , ,Valerie Le Corre,NA,France,47.3833,5.31667
236,236,MOG-11,MOG-11, , ,Valerie Le Corre,NA,France,48.6667,-4.06667
237,237,MOG-12,MOG-12, , ,Valerie Le Corre,NA,France,48.6667,-4.06667
242,242,MOG-37,MOG-37, , ,Valerie Le Corre,NA,France,48.6667,-4.06667
244,244,MOG-40,MOG-40, , ,Valerie Le Corre,NA,France,48.6667,-4.06667
252,252,MOG-55,MOG-55, , ,Valerie Le Corre,NA,France,48.6667,-4.06667
257,257,PAR-10,PAR-10, , ,Valerie Le Corre,NA,France,46.65,-0.25
258,258,PAR-3,PAR-3, , ,Valerie Le Corre,NA,France,46.65,-0.25
259,259,PAR-4,PAR-4, , ,Valerie Le Corre,NA,France,46.65,-0.25
260,260,PAR-5,PAR-5, , ,Valerie Le Corre,NA,France,46.65,-0.25
261,261,PAR-6,PAR-6, , ,Valerie Le Corre,NA,France,46.65,-0.25
262,262,PAR-8,PAR-8, , ,Valerie Le Corre,NA,France,46.65,-0.25
263,263,PAR-9,PAR-9, , ,Valerie Le Corre,NA,France,46.65,-0.25
264,264,PON,PON, , ,Valerie Le Corre,NA,France,45.75,4.71667
266,266,RAN,RAN, , ,Valerie Le Corre,NA,France,48.65,-2
267,267,ROM-1,ROM-1, , ,Valerie Le Corre,NA,France,45.5333,4.85
268,268,ROM-2,ROM-2, , ,Valerie Le Corre,NA,France,45.5333,4.85
269,269,ROM-9,ROM-9, , ,Valerie Le Corre,NA,France,45.5333,4.85
273,273,TOU-A1-105,TOU-A1-105, , ,Fabrice Roux,NA,France,46.6667,4.11667
275,275,TOU-A1-109,TOU-A1-109, , ,Fabrice Roux,NA,France,46.6667,4.11667
277,277,TOU-A1-111,TOU-A1-111, , ,Fabrice Roux,NA,France,46.6667,4.11667
278,278,TOU-A1-112,TOU-A1-112, , ,Fabrice Roux,NA,France,46.6667,4.11667
280,280,TOU-A1-114,TOU-A1-114, , ,Fabrice Roux,NA,France,46.6667,4.11667
281,281,TOU-A1-115,TOU-A1-115, , ,Fabrice Roux,NA,France,46.6667,4.11667
282,282,TOU-A1-116,TOU-A1-116, , ,Fabrice Roux,NA,France,46.6667,4.11667
283,283,TOU-A1-117,TOU-A1-117, , ,Fabrice Roux,NA,France,46.6667,4.11667
287,287,TOU-A1-120,TOU-A1-120, , ,Fabrice Roux,NA,France,46.6667,4.11667
288,288,TOU-A1-122,TOU-A1-122, , ,Fabrice Roux,NA,France,46.6667,4.11667
290,290,TOU-A1-124,TOU-A1-124, , ,Fabrice Roux,NA,France,46.6667,4.11667
291,291,TOU-A1-125,TOU-A1-125, , ,Fabrice Roux,NA,France,46.6667,4.11667
292,292,TOU-A1-128,TOU-A1-128, , ,Fabrice Roux,NA,France,46.6667,4.11667
293,293,TOU-A1-129,TOU-A1-129, , ,Fabrice Roux,NA,France,46.6667,4.11667
295,295,TOU-A1-131,TOU-A1-131, , ,Fabrice Roux,NA,France,46.6667,4.11667
296,296,TOU-A1-133,TOU-A1-133, , ,Fabrice Roux,NA,France,46.6667,4.11667
297,297,TOU-A1-134,TOU-A1-134, , ,Fabrice Roux,NA,France,46.6667,4.11667
298,298,TOU-A1-137,TOU-A1-137, , ,Fabrice Roux,NA,France,46.6667,4.11667
302,302,TOU-A1-143,TOU-A1-143, , ,Fabrice Roux,NA,France,46.6667,4.11667
306,306,TOU-A1-18,TOU-A1-18, , ,Fabrice Roux,NA,France,46.6667,4.11667
309,309,TOU-A1-23,TOU-A1-23, , ,Fabrice Roux,NA,France,46.6667,4.11667
310,310,TOU-A1-26,TOU-A1-26, , ,Fabrice Roux,NA,France,46.6667,4.11667
311,311,TOU-A1-27,TOU-A1-27, , ,Fabrice Roux,NA,France,46.6667,4.11667
314,314,TOU-A1-33,TOU-A1-33, , ,Fabrice Roux,NA,France,46.6667,4.11667
316,316,TOU-A1-37,TOU-A1-37, , ,Fabrice Roux,NA,France,46.6667,4.11667
318,318,TOU-A1-39,TOU-A1-39, , ,Fabrice Roux,NA,France,46.6667,4.11667
320,320,TOU-A1-41,TOU-A1-41, , ,Fabrice Roux,NA,France,46.6667,4.11667
321,321,TOU-A1-43,TOU-A1-43, , ,Fabrice Roux,NA,France,46.6667,4.11667
322,322,TOU-A1-45,TOU-A1-45, , ,Fabrice Roux,NA,France,46.6667,4.11667
323,323,TOU-A1-47,TOU-A1-47, , ,Fabrice Roux,NA,France,46.6667,4.11667
326,326,TOU-A1-60,TOU-A1-60, , ,Fabrice Roux,NA,France,46.6667,4.11667
327,327,TOU-A1-61,TOU-A1-61, , ,Fabrice Roux,NA,France,46.6667,4.11667
328,328,TOU-A1-62,TOU-A1-62, , ,Fabrice Roux,NA,France,46.6667,4.11667
329,329,TOU-A1-63,TOU-A1-63, , ,Fabrice Roux,NA,France,46.6667,4.11667
331,331,TOU-A1-65,TOU-A1-65, , ,Fabrice Roux,NA,France,46.6667,4.11667
332,332,TOU-A1-66,TOU-A1-66, , ,Fabrice Roux,NA,France,46.6667,4.11667
334,334,TOU-A1-68,TOU-A1-68, , ,Fabrice Roux,NA,France,46.6667,4.11667
335,335,TOU-A1-69,TOU-A1-69, , ,Fabrice Roux,NA,France,46.6667,4.11667
337,337,TOU-A1-70,TOU-A1-70, , ,Fabrice Roux,NA,France,46.6667,4.11667
338,338,TOU-A1-73,TOU-A1-73, , ,Fabrice Roux,NA,France,46.6667,4.11667
339,339,TOU-A1-74,TOU-A1-74, , ,Fabrice Roux,NA,France,46.6667,4.11667
340,340,TOU-A1-75,TOU-A1-75, , ,Fabrice Roux,NA,France,46.6667,4.11667
341,341,TOU-A1-77,TOU-A1-77, , ,Fabrice Roux,NA,France,46.6667,4.11667
343,343,TOU-A1-79,TOU-A1-79, , ,Fabrice Roux,NA,France,46.6667,4.11667
346,346,TOU-A1-81,TOU-A1-81, , ,Fabrice Roux,NA,France,46.6667,4.11667
347,347,TOU-A1-82,TOU-A1-82, , ,Fabrice Roux,NA,France,46.6667,4.11667
348,348,TOU-A1-84,TOU-A1-84, , ,Fabrice Roux,NA,France,46.6667,4.11667
349,349,TOU-A1-85,TOU-A1-85, , ,Fabrice Roux,NA,France,46.6667,4.11667
355,355,TOU-A1-93,TOU-A1-93, , ,Fabrice Roux,NA,France,46.6667,4.11667
357,357,TOU-A1-96,TOU-A1-96, , ,Fabrice Roux,NA,France,46.6667,4.11667
359,359,TOU-A1-98,TOU-A1-98, , ,Fabrice Roux,NA,France,46.6667,4.11667
360,360,TOU-C-1,TOU-C-1, , ,Fabrice Roux,NA,France,46.6667,4.11667
361,361,TOU-C-2,TOU-C-2, , ,Fabrice Roux,NA,France,46.6667,4.11667
362,362,TOU-C-3,TOU-C-3, , ,Fabrice Roux,NA,France,46.6667,4.11667
363,363,TOU-D-1,TOU-D-1, , ,Fabrice Roux,NA,France,46.6667,4.11667
364,364,TOU-D-5,TOU-D-5, , ,Fabrice Roux,NA,France,46.6667,4.11667
366,366,TOU-E-11,TOU-E-11, , ,Fabrice Roux,NA,France,46.6667,4.11667
367,367,TOU-E-2,TOU-E-2, , ,Fabrice Roux,NA,France,46.6667,4.11667
368,368,TOU-E-7,TOU-E-7, , ,Fabrice Roux,NA,France,46.6667,4.11667
369,369,TOU-F-1,TOU-F-1, , ,Fabrice Roux,NA,France,46.6667,4.11667
371,371,TOU-G-1,TOU-G-1, , ,Fabrice Roux,NA,France,46.6667,4.11667
372,372,TOU-H-10,TOU-H-10, , ,Fabrice Roux,NA,France,46.6667,4.11667
373,373,TOU-H-12,TOU-H-12, , ,Fabrice Roux,NA,France,46.6667,4.11667
374,374,TOU-H-13,TOU-H-13, , ,Fabrice Roux,NA,France,46.6667,4.11667
375,375,TOU-H-3,TOU-H-3, , ,Fabrice Roux,NA,France,46.6667,4.11667
377,377,TOU-I-1,TOU-I-1, , ,Fabrice Roux,NA,France,46.6667,4.11667
378,378,TOU-I-17,TOU-I-17, , ,Fabrice Roux,NA,France,46.6667,4.11667
379,379,TOU-I-2,TOU-I-2, , ,Fabrice Roux,NA,France,46.6667,4.11667
380,380,TOU-I-6,TOU-I-6, , ,Fabrice Roux,NA,France,46.6667,4.11667
383,383,TOU-J-3,TOU-J-3, , ,Fabrice Roux,NA,France,46.6667,4.11667
385,385,TOU-K-2,TOU-K-2, , ,Fabrice Roux,NA,France,46.6667,4.11667
386,386,TOU-K-3,TOU-K-3, , ,Fabrice Roux,NA,France,46.6667,4.11667
387,387,TOU-L-10,TOU-L-10, , ,Fabrice Roux,NA,France,46.6667,4.11667
388,388,TOU-L-17,TOU-L-17, , ,Fabrice Roux,NA,France,46.6667,4.11667
389,389,TOU-L-5,TOU-L-5, , ,Fabrice Roux,NA,France,46.6667,4.11667
390,390,VOU-1,VOU-1, , ,Valerie Le Corre,NA,France,46.65,0.166667
391,391,VOU-10,VOU-10, , ,Valerie Le Corre,NA,France,46.65,0.166667
392,392,VOU-2,VOU-2, , ,Valerie Le Corre,NA,France,46.65,0.166667
393,393,VOU-4,VOU-4, , ,Valerie Le Corre,NA,France,46.65,0.166667
394,394,VOU-5,VOU-5, , ,Valerie Le Corre,NA,France,46.65,0.166667
395,395,VOU-6,VOU-6, , ,Valerie Le Corre,NA,France,46.65,0.166667
396,396,VOU-7,VOU-7, , ,Valerie Le Corre,NA,France,46.65,0.166667
397,397,VOU-8,VOU-8, , ,Valerie Le Corre,NA,France,46.65,0.166667
402,402,Zdarec2,Zdarec2, , ,Marie-Theres Hauser,NA,Czech Republic,49.3667,16.2667
403,403,Zdarec3,Zdarec3, , ,Marie-Theres Hauser,NA,Czech Republic,49.3667,16.2667
404,404,Doubravnik1,Doubravnik1, , ,Marie-Theres Hauser,NA,Czech Republic,49.4211,16.3497
407,407,Doubravnik4,Doubravnik4, , ,Marie-Theres Hauser,NA,Czech Republic,49.4211,16.3497
409,409,Doubravnik6,Doubravnik6, , ,Marie-Theres Hauser,NA,Czech Republic,49.4211,16.3497
413,413,Doubravnik10,Doubravnik10, , ,Marie-Theres Hauser,NA,Czech Republic,49.4211,16.3497
417,417,Doubravnik14,Doubravnik14, , ,Marie-Theres Hauser,NA,Czech Republic,49.4211,16.3497
421,421,Doubravnik18,Doubravnik18, , ,Marie-Theres Hauser,NA,Czech Republic,49.4211,16.3497
424,424,Draha2,Draha2, , ,Marie-Theres Hauser,NA,Czech Republic,49.4112,16.2815
428,428,Borky1,Borky1, , ,Marie-Theres Hauser,NA,Czech Republic,49.403,16.232
429,429,Borky2,Borky2, , ,Marie-Theres Hauser,NA,Czech Republic,49.403,16.232
461,461,EM-183,EM-183, , ,Eric Holub,1/1/1995,United Kingdom,51.3,0.5
466,466,EM-134,EM-134, , ,Eric Holub,1/1/1995,United Kingdom,51.3,0.5
607,607,LI-OF-002,LI-OF-002, , ,Oliver Bossdorf,4/1/2006,United States of America,40.7777,-72.9069
615,615,LI-OF-023,LI-OF-023, , ,Oliver Bossdorf,4/1/2006,United States of America,40.7777,-72.9069
623,623,LI-OF-042,LI-OF-042, , ,Oliver Bossdorf,4/1/2006,United States of America,40.7777,-72.9069
627,627,LI-OF-060,LI-OF-060, , ,Oliver Bossdorf,4/1/2006,United States of America,40.7777,-72.9069
631,631,LI-OF-066,LI-OF-066, , ,Oliver Bossdorf,4/1/2006,United States of America,40.7777,-72.9069
640,640,LI-OF-094,LI-OF-094, , ,Oliver Bossdorf,4/1/2006,United States of America,40.7777,-72.9069
641,641,LI-OF-095,LI-OF-095, , ,Oliver Bossdorf,4/1/2006,United States of America,40.7777,-72.9069
719,719,LI-SET-009,LI-SET-009, , ,Oliver Bossdorf,4/1/2006,United States of America,40.9352,-73.114
827,827,KYF-21,KYF-21, , ,Kathleen Donohue,5/4/1999,United States of America,38.0786,-84.473
895,895,MAW-7,MAW-7, , ,Kathleen Donohue,12/1/2002,United States of America,42.5319,-72.5595
936,936,FOR-5,FOR-5, , ,Kathleen Donohue,6/1/2002,United States of America,42.3853,-71.1173
946,946,CON-6,CON-6, , ,Kathleen Donohue,6/1/2002,United States of America,42.4682,-71.4158
957,957,Belmonte-4-94,Belmonte-4-94, , ,Jon ?gren,1/1/2003,Italy,42.1167,12.4833
991,991,Ale-Stenar-41-1,Ale-Stenar-41-1, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
992,992,Ale-Stenar-44-4,Ale-Stenar-44-4, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
996,996,Ale-Stenar-50-11,Ale-Stenar-50-11, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
997,997,Ale-Stenar-56-14,Ale-Stenar-56-14, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
998,998,Ale-Stenar-57-16,Ale-Stenar-57-16, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
999,999,Ale-Stenar-59-18,Ale-Stenar-59-18, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
1002,1002,Ale-Stenar-64-24,Ale-Stenar-64-24, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
1006,1006,Ale-Stenar-77-31,Ale-Stenar-77-31, , ,Jon ?gren,1/1/2001,Sweden,55.383749,14.050363
1026,1026,VM-12,VM-12, , ,Jon ?gren,1/1/2005,Sweden,55.7,14.2
1061,1061,Brösarp-11-135,Brösarp-11-135, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1062,1062,Brösarp-15-138,Brösarp-15-138, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1063,1063,Brösarp-21-140,Brösarp-21-140, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1064,1064,Brösarp-25-142,Brösarp-25-142, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1068,1068,Brösarp-37-149,Brösarp-37-149, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1070,1070,Brösarp-45-153,Brösarp-45-153, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1072,1072,Brösarp-51-157,Brösarp-51-157, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1073,1073,Brösarp-53-159,Brösarp-53-159, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1075,1075,Brösarp-63-163,Brösarp-63-163, , ,Jon ?gren,1/1/2001,Sweden,55.7167,14.1333
1132,1132,Gårdby-17-198,Gårdby-17-198, , ,Jon ?gren,1/1/2003,Sweden,56.6167,16.65
1153,1153,Aledal-1-34,Aledal-1-34, , ,Jon ?gren,1/1/2003,Sweden,56.7,16.5167
1158,1158,Aledal-6-49,Aledal-6-49, , ,Jon ?gren,1/1/2003,Sweden,56.7,16.5167
1163,1163,Aledal-11-63,Aledal-11-63, , ,Jon ?gren,1/1/2003,Sweden,56.7,16.5167
1166,1166,Aledal-14-73,Aledal-14-73, , ,Jon ?gren,1/1/2003,Sweden,56.7,16.5167
1169,1169,Aledal-17-82,Aledal-17-82, , ,Jon ?gren,1/1/2003,Sweden,56.7,16.5167
1247,1247,Tos-31-374,Tos-31-374, , ,Jon ?gren,1/1/2001,Sweden,59.4333,17.0167
1254,1254,Tos-82-387,Tos-82-387, , ,Jon ?gren,1/1/2001,Sweden,59.4333,17.0167
1256,1256,Tos-93-391,Tos-93-391, , ,Jon ?gren,1/1/2001,Sweden,59.4333,17.0167
1257,1257,Tos-95-393,Tos-95-393, , ,Jon ?gren,1/1/2001,Sweden,59.4333,17.0167
1312,1312,Ängsö-57-419,Ängsö-57-419, , ,Jon ?gren,1/1/2001,Sweden,59.5667,16.8667
1313,1313,Ängsö-59-422,Ängsö-59-422, , ,Jon ?gren,1/1/2001,Sweden,59.5667,16.8667
1317,1317,Ängsö-74-430,Ängsö-74-430, , ,Jon ?gren,1/1/2001,Sweden,59.5667,16.8667
1318,1318,Ängsö-80-432,Ängsö-80-432, , ,Jon ?gren,1/1/2001,Sweden,59.5667,16.8667
1360,1360,Ham-2-228,Ham-2-228, , ,Jon ?gren,1/1/2004,Sweden,59.7833,17.5833
1362,1362,Ham-6-232,Ham-6-232, , ,Jon ?gren,1/1/2004,Sweden,59.7833,17.5833
1363,1363,Ham-7-233,Ham-7-233, , ,Jon ?gren,1/1/2004,Sweden,59.7833,17.5833
1366,1366,Ham-10-239,Ham-10-239, , ,Jon ?gren,1/1/2004,Sweden,59.7833,17.5833
1374,1374,Ham-27-256,Ham-27-256, , ,Jon ?gren,1/1/2004,Sweden,59.7833,17.5833
1391,1391,Stabby-13,Stabby-13, , ,Jon ?gren,1/1/2005,Sweden,59.8,17.5833
1404,1404,Stabby-26,Stabby-26, , ,Jon ?gren,1/1/2005,Sweden,59.8,17.5833
1409,1409,Röd-38,Röd-38, , ,Jon ?gren,1/1/2003,Sweden,62.8,18.2
1416,1416,Röd-45,Röd-45, , ,Jon ?gren,1/1/2003,Sweden,62.8,18.2
1435,1435,Röd-17-319,Röd-17-319, , ,Jon ?gren,1/1/2003,Sweden,62.8,18.2
1552,1552,Sku-30,Sku-30, , ,Jon ?gren,1/1/2003,Sweden,63.0833,18.3667
1585,1585,Hen-16-268,Hen-16-268, , ,Jon ?gren,1/1/1996,Sweden,65.25,15.6
1716,1716,KBS-Mac-8,KBS-Mac-8, , ,Diane Byers,5/29/2004,United States of America,42.405,-85.398
1718,1718,KBS-Mac-15,KBS-Mac-15, , ,Diane Byers,5/29/2004,United States of America,42.405,-85.398
