"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "C" "Mg" "Na" "Comp1"
"1" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA
"2" "Chr1" "TAIR10" "gene" 29404648 29406752 "AT1G78150" NA 1 NA NA NA NA NA NA
"3" "Chr5" "TAIR10" "gene" 20239343 20246380 "AT5G49810" NA 1 NA NA NA NA NA NA
"4" "Chr1" "TAIR10" "gene" 10625029 10627105 "AT1G30200" NA NA 1 NA NA NA NA NA
"5" "Chr1" "TAIR10" "gene" 24959334 24961616 "AT1G66900" NA NA 1 NA NA NA NA NA
"6" "Chr2" "TAIR10" "gene" 416911 420588 "AT2G01910" NA NA 1 NA NA NA NA NA
"7" "Chr4" "TAIR10" "gene" 8378429 8380714 "AT4G14605" NA NA 1 NA NA NA NA NA
"8" "Chr1" "TAIR10" "gene" 17572451 17573159 "AT1G47760" NA NA NA 1 NA NA NA NA
"9" "Chr2" "TAIR10" "gene" 16470025 16471246 "AT2G39445" NA NA NA 1 NA NA NA NA
"10" "Chr2" "TAIR10" "gene" 16852880 16856690 "AT2G40360" NA NA NA NA 1 NA NA NA
"11" "Chr3" "TAIR10" "gene" 18676059 18684346 "AT3G50370" NA NA NA NA 1 NA NA NA
"12" "Chr1" "TAIR10" "gene" 7671028 7674215 "AT1G21860" NA NA NA NA NA 1 NA NA
"13" "Chr4" "TAIR10" "gene" 7307737 7309755 "AT4G12300" NA NA NA NA NA 1 NA NA
"14" "Chr5" "TAIR10" "gene" 15373094 15374726 "AT5G38396" NA NA NA NA NA 1 NA NA
"15" "Chr1" "TAIR10" "gene" 5875350 5876545 "AT1G17190" NA NA NA NA NA NA 1 NA
"16" "Chr2" "TAIR10" "gene" 7664103 7666522 "AT2G17620" NA NA NA NA NA NA 1 NA
"17" "Chr3" "TAIR10" "gene" 16195955 16201225 "AT3G44630" NA NA NA NA NA NA 1 NA
"18" "Chr1" "TAIR10" "gene" 13061638 13063450 "AT1G35490" NA NA NA NA NA NA NA 1
"19" "Chr3" "TAIR10" "gene" 21810260 21817555 "AT3G59020" NA NA NA NA NA NA NA 1
"20" "Chr5" "TAIR10" "gene" 817864 825149 "AT5G03360" NA NA NA NA NA NA NA 1
