"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N" "C" "Mg" "Na" "Comp1"
"1" "Chr2" "TAIR10" "gene" 6418199 6419236 "AT2G14920" 1 NA NA NA NA NA NA NA NA
"2" "Chr2" "TAIR10" "gene" 6431471 6431826 "AT2G14935" 1 NA NA NA NA NA NA NA NA
"3" "Chr5" "TAIR10" "gene" 7139892 7144272 "AT5G21030" 1 NA NA NA NA NA NA NA NA
"4" "Chr5" "TAIR10" "gene" 7144877 7147277 "AT5G21040" 1 NA NA NA NA NA NA NA NA
"5" "Chr5" "TAIR10" "gene" 7147890 7148957 "AT5G21050" 1 NA NA NA NA NA NA NA NA
"6" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA NA
"7" "Chr5" "TAIR10" "gene" 7156173 7157775 "AT5G21070" 1 NA NA NA NA NA NA NA NA
"8" "Chr5" "TAIR10" "gene" 7158035 7163188 "AT5G21080" 1 NA NA NA NA NA NA NA NA
"9" "Chr1" "TAIR10" "gene" 29393939 29396086 "AT1G78120" NA 1 NA NA NA NA NA NA NA
"10" "Chr1" "TAIR10" "gene" 29400140 29401902 "AT1G78130" NA 1 NA NA NA NA NA NA NA
"11" "Chr1" "TAIR10" "gene" 29401759 29403946 "AT1G78140" NA 1 NA NA NA NA NA NA NA
"12" "Chr1" "TAIR10" "gene" 29404648 29406752 "AT1G78150" NA 1 NA NA NA NA NA NA NA
"13" "Chr1" "TAIR10" "gene" 29407900 29410184 "AT1G78160" NA 1 NA NA NA NA NA NA NA
"14" "Chr1" "TAIR10" "gene" 29414059 29415094 "AT1G78170" NA 1 NA NA NA NA NA NA NA
"15" "Chr2" "TAIR10" "gene" 11949986 11952204 "AT2G28060" NA 1 NA NA NA NA NA NA NA
"16" "Chr2" "TAIR10" "gene" 11956432 11959782 "AT2G28070" NA 1 NA NA NA NA NA NA NA
"17" "Chr2" "TAIR10" "gene" 11960571 11963293 "AT2G28080" NA 1 NA NA NA NA NA NA NA
"18" "Chr2" "TAIR10" "gene" 12133811 12136180 "AT2G28380" NA 1 NA NA NA NA NA NA NA
"19" "Chr2" "TAIR10" "gene" 12139580 12143465 "AT2G28390" NA 1 NA NA NA NA NA NA NA
"20" "Chr2" "TAIR10" "gene" 12148304 12149052 "AT2G28400" NA 1 NA NA NA NA NA NA NA
"21" "Chr2" "TAIR10" "gene" 12150380 12150502 "AT2G28401" NA 1 NA NA NA NA NA NA NA
"22" "Chr2" "TAIR10" "gene" 12153294 12154092 "AT2G28405" NA 1 NA NA NA NA NA NA NA
"23" "Chr5" "TAIR10" "gene" 9676334 9678503 "AT5G27400" NA 1 NA NA NA NA NA NA NA
