"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N" "C" "Mg" "Na" "Comp1"
"1" "Chr2" "TAIR10" "gene" 4096001 4096920 "AT2G10550" 1 NA NA NA NA NA NA NA NA
"2" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA NA NA NA NA
"3" "Chr4" "TAIR10" "gene" 9467563 9469116 "AT4G16820" 1 NA NA NA NA NA NA NA NA
"4" "Chr5" "TAIR10" "gene" 7148978 7152876 "AT5G21060" 1 NA NA NA NA NA NA NA NA
"5" "Chr1" "TAIR10" "gene" 2646189 2649379 "AT1G08410" NA 1 NA NA NA NA NA NA NA
"6" "Chr1" "TAIR10" "gene" 11249600 11253915 "AT1G31420" NA 1 NA NA NA NA NA NA NA
"7" "Chr1" "TAIR10" "gene" 19409711 19414678 "AT1G52150" NA 1 NA NA NA 1 NA NA NA
"8" "Chr5" "TAIR10" "gene" 14690436 14692851 "AT5G37140" NA 1 NA NA NA NA NA NA NA
"9" "Chr5" "TAIR10" "gene" 21865268 21868948 "AT5G53860" NA 1 NA NA NA NA NA NA NA
"10" "Chr5" "TAIR10" "gene" 21869864 21871284 "AT5G53870" NA 1 NA NA NA NA NA NA NA
"11" "Chr1" "TAIR10" "gene" 22744207 22746111 "AT1G61630" NA NA 1 NA NA NA NA NA NA
"12" "Chr1" "TAIR10" "gene" 22746372 22749184 "AT1G61640" NA NA 1 NA NA NA NA NA NA
"13" "Chr1" "TAIR10" "gene" 24959334 24961616 "AT1G66900" NA NA 1 NA NA NA NA NA NA
"14" "Chr1" "TAIR10" "gene" 24961634 24963946 "AT1G66910" NA NA 1 NA 1 NA NA NA NA
"15" "Chr2" "TAIR10" "gene" 8090658 8091656 "AT2G18660" NA NA 1 NA NA NA NA NA NA
"16" "Chr3" "TAIR10" "gene" 20296232 20298691 "AT3G54810" NA NA 1 NA NA NA NA NA NA
"17" "Chr4" "TAIR10" "gene" 9688888 9697578 "AT4G17330" NA NA 1 NA NA NA NA NA NA
"18" "Chr4" "TAIR10" "gene" 10427807 10428516 "AT4G19035" NA NA 1 NA NA NA NA NA NA
"19" "Chr4" "TAIR10" "gene" 10452889 10453521 "AT4G19095" NA NA 1 NA NA NA NA NA NA
"20" "Chr4" "TAIR10" "gene" 10453415 10454359 "AT4G19100" NA NA 1 NA NA NA NA NA NA
"21" "Chr4" "TAIR10" "gene" 10454497 10459328 "AT4G19110" NA NA 1 NA NA NA NA NA NA
"22" "Chr4" "TAIR10" "gene" 10454528 10459328 "AT4G19112" NA NA 1 NA NA NA NA NA NA
"23" "Chr4" "TAIR10" "gene" 13253210 13254904 "AT4G26150" NA NA 1 NA NA NA NA NA NA
"24" "Chr1" "TAIR10" "gene" 21159744 21167321 "AT1G56500" NA NA NA 1 NA NA NA NA NA
"25" "Chr2" "TAIR10" "gene" 6036974 6040978 "AT2G14255" NA NA NA 1 NA NA NA NA NA
"26" "Chr3" "TAIR10" "gene" 9202880 9203623 "AT3G25265" NA NA NA 1 NA NA NA NA NA
"27" "Chr3" "TAIR10" "gene" 9203934 9204965 "AT3G25270" NA NA NA 1 NA NA NA NA NA
"28" "Chr4" "TAIR10" "gene" 15479524 15485353 "AT4G32010" NA NA NA 1 NA NA NA NA NA
"29" "Chr5" "TAIR10" "gene" 16848786 16851707 "AT5G42170" NA NA NA 1 NA NA NA NA NA
"30" "Chr5" "TAIR10" "gene" 16852630 16854224 "AT5G42180" NA NA NA 1 NA NA NA NA NA
"31" "Chr5" "TAIR10" "gene" 17203742 17205380 "AT5G42910" NA NA NA 1 NA NA NA NA NA
"32" "Chr5" "TAIR10" "gene" 17206151 17209545 "AT5G42920" NA NA NA 1 NA NA NA NA NA
"33" "Chr1" "TAIR10" "gene" 18498639 18501886 "AT1G49960" NA NA NA NA 1 NA NA NA NA
"34" "Chr1" "TAIR10" "gene" 18501570 18504609 "AT1G49970" NA NA NA NA 1 NA NA NA NA
"35" "Chr1" "TAIR10" "gene" 18522441 18539995 "AT1G50030" NA NA NA NA 1 NA NA NA NA
"36" "Chr2" "TAIR10" "gene" 4106183 4106356 "AT2G10557" NA NA NA NA 1 NA NA NA NA
"37" "Chr3" "TAIR10" "gene" 22642983 22643309 "AT3G61175" NA NA NA NA 1 NA NA NA NA
"38" "Chr5" "TAIR10" "gene" 17733485 17733712 "AT5G44065" NA NA NA NA 1 NA NA NA NA
"39" "Chr5" "TAIR10" "gene" 17734738 17737859 "AT5G44070" NA NA NA NA 1 NA NA NA NA
"40" "Chr2" "TAIR10" "gene" 193701 199248 "AT2G01440" NA NA NA NA NA 1 NA NA NA
"41" "Chr3" "TAIR10" "gene" 18676059 18684346 "AT3G50370" NA NA NA NA NA 1 NA NA NA
"42" "Chr5" "TAIR10" "gene" 16365725 16365841 "AT5G40847" NA NA NA NA NA 1 NA NA NA
"43" "Chr1" "TAIR10" "gene" 21721404 21722429 "AT1G58460" NA NA NA NA NA NA 1 NA NA
"44" "Chr1" "TAIR10" "gene" 26548952 26550520 "AT1G70440" NA NA NA NA NA NA 1 NA NA
"45" "Chr2" "TAIR10" "gene" 15578415 15581308 "AT2G37070" NA NA NA NA NA NA 1 NA NA
"46" "Chr3" "TAIR10" "gene" 16260205 16262484 "AT3G44713" NA NA NA NA NA NA 1 NA NA
"47" "Chr3" "TAIR10" "gene" 17134091 17135587 "AT3G46540" NA NA NA NA NA NA 1 NA NA
"48" "Chr3" "TAIR10" "gene" 17136456 17137874 "AT3G46550" NA NA NA NA NA NA 1 NA NA
"49" "Chr4" "TAIR10" "gene" 9173165 9173650 "AT4G16195" NA NA NA NA NA NA 1 NA NA
"50" "Chr4" "TAIR10" "gene" 9175649 9176565 "AT4G16200" NA NA NA NA NA NA 1 NA NA
"51" "Chr4" "TAIR10" "gene" 13027443 13028036 "AT4G25510" NA NA NA NA NA NA 1 NA NA
"52" "Chr4" "TAIR10" "gene" 13028219 13031799 "AT4G25515" NA NA NA NA NA NA 1 NA NA
"53" "Chr1" "TAIR10" "gene" 16739261 16741513 "AT1G44050" NA NA NA NA NA NA NA 1 NA
"54" "Chr2" "TAIR10" "gene" 11215252 11217033 "AT2G26340" NA NA NA NA NA NA NA 1 NA
"55" "Chr3" "TAIR10" "gene" 16195955 16201225 "AT3G44630" NA NA NA NA NA NA NA 1 NA
"56" "Chr1" "TAIR10" "gene" 13061638 13063450 "AT1G35490" NA NA NA NA NA NA NA NA 1
"57" "Chr1" "TAIR10" "gene" 29759157 29760704 "AT1G79110" NA NA NA NA NA NA NA NA 1
"58" "Chr2" "TAIR10" "gene" 11318771 11324174 "AT2G26610" NA NA NA NA NA NA NA NA 1
"59" "Chr3" "TAIR10" "gene" 2543616 2551225 "AT3G07980" NA NA NA NA NA NA NA NA 1
"60" "Chr4" "TAIR10" "gene" 6628404 6632599 "AT4G10770" NA NA NA NA NA NA NA NA 1
