"chr" "annot" "type" "start" "end" "name" "Fe" "Cu" "Zn" "Mn" "N"
"1" "Chr1" "TAIR10" "gene" 16051795 16051935 "AT1G42699" 1 NA NA NA NA
"2" "Chr1" "TAIR10" "gene" 16672582 16673952 "AT1G43950" 1 NA NA NA NA
"3" "Chr2" "TAIR10" "gene" 3045559 3046744 "AT2G07340" 1 NA NA NA NA
"4" "Chr2" "TAIR10" "gene" 3047252 3057196 "AT2G07360" 1 NA NA NA NA
"5" "Chr2" "TAIR10" "gene" 3045559 3046744 "AT2G07340" 1 NA NA NA NA
"6" "Chr2" "TAIR10" "gene" 3047252 3057196 "AT2G07360" 1 NA NA NA NA
"7" "Chr2" "TAIR10" "gene" 3058918 3059043 "AT2G07362" 1 NA NA NA NA
"8" "Chr2" "TAIR10" "gene" 3059157 3059306 "AT2G07363" 1 NA NA NA NA
"9" "Chr2" "TAIR10" "gene" 3047252 3057196 "AT2G07360" 1 NA NA NA NA
"10" "Chr2" "TAIR10" "gene" 3058918 3059043 "AT2G07362" 1 NA NA NA NA
"11" "Chr2" "TAIR10" "gene" 3059157 3059306 "AT2G07363" 1 NA NA NA NA
"12" "Chr2" "TAIR10" "gene" 3047252 3057196 "AT2G07360" 1 NA NA NA NA
"13" "Chr2" "TAIR10" "gene" 3058918 3059043 "AT2G07362" 1 NA NA NA NA
"14" "Chr2" "TAIR10" "gene" 3059157 3059306 "AT2G07363" 1 NA NA NA NA
"15" "Chr2" "TAIR10" "gene" 3136617 3136766 "AT2G07521" 1 NA NA NA NA
"16" "Chr2" "TAIR10" "gene" 3136617 3136766 "AT2G07521" 1 NA NA NA NA
"17" "Chr2" "TAIR10" "gene" 3136617 3136766 "AT2G07521" 1 NA NA NA NA
"18" "Chr2" "TAIR10" "gene" 3136617 3136766 "AT2G07521" 1 NA NA NA NA
"19" "Chr2" "TAIR10" "gene" 3136617 3136766 "AT2G07521" 1 NA NA NA NA
"20" "Chr2" "TAIR10" "gene" 3136617 3136766 "AT2G07521" 1 NA NA NA NA
"21" "Chr2" "TAIR10" "gene" 3136617 3136766 "AT2G07521" 1 NA NA NA NA
"22" "Chr2" "TAIR10" "gene" 4096001 4096920 "AT2G10550" 1 NA NA NA 1
"23" "Chr2" "TAIR10" "gene" 4301883 4302134 "AT2G10920" 1 NA NA NA NA
"24" "Chr2" "TAIR10" "gene" 4301932 4303080 "AT2G10921" 1 NA NA NA NA
"25" "Chr2" "TAIR10" "gene" 4303281 4303967 "AT2G10930" 1 NA NA NA NA
"26" "Chr2" "TAIR10" "gene" 4304947 4305887 "AT2G10931" 1 NA NA NA NA
"27" "Chr2" "TAIR10" "gene" 6418199 6419236 "AT2G14920" 1 NA NA NA NA
"28" "Chr2" "TAIR10" "gene" 6431471 6431826 "AT2G14935" 1 NA NA NA NA
"29" "Chr2" "TAIR10" "gene" 8160703 8163750 "AT2G18850" 1 NA NA NA NA
"30" "Chr2" "TAIR10" "gene" 8164241 8165974 "AT2G18860" 1 NA NA NA NA
"31" "Chr2" "TAIR10" "gene" 8167471 8168668 "AT2G18870" 1 NA NA NA NA
"32" "Chr2" "TAIR10" "gene" 8169546 8172523 "AT2G18876" 1 NA NA NA NA
"33" "Chr2" "TAIR10" "gene" 8172189 8178995 "AT2G18880" 1 NA NA NA NA
"34" "Chr2" "TAIR10" "gene" 8164241 8165974 "AT2G18860" 1 NA NA NA NA
"35" "Chr2" "TAIR10" "gene" 8167471 8168668 "AT2G18870" 1 NA NA NA NA
"36" "Chr2" "TAIR10" "gene" 8169546 8172523 "AT2G18876" 1 NA NA NA NA
"37" "Chr2" "TAIR10" "gene" 8172189 8178995 "AT2G18880" 1 NA NA NA NA
"38" "Chr2" "TAIR10" "gene" 8183890 8186796 "AT2G18890" 1 NA NA NA NA
"39" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"40" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"41" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"42" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"43" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"44" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"45" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"46" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"47" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"48" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"49" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"50" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"51" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"52" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"53" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"54" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"55" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"56" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"57" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"58" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"59" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"60" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"61" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"62" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"63" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"64" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
"65" "Chr3" "TAIR10" "gene" 4517517 4519475 "AT3G13760" 1 NA NA NA NA
"66" "Chr3" "TAIR10" "gene" 4519647 4521533 "AT3G13770" 1 NA NA NA NA
"67" "Chr3" "TAIR10" "gene" 4504270 4506311 "AT3G13740" 1 NA NA NA NA
"68" "Chr3" "TAIR10" "gene" 4510965 4516298 "AT3G13750" 1 NA NA NA NA
